Name,Home Runs,Year,Team,League
Juan Gonzalez,43,1992,Texas Rangers,AL
Curtis Granderson,43,2012,New York Yankees,AL
Josh Hamilton,43,2012,Texas Rangers,AL
Davey Johnson,43,1973,Atlanta Braves,NL
Chuck Klein,43,1929,Philadelphia Phillies,NL
Javy Lopez,43,2003,Atlanta Braves,NL
Johnny Mize,43,1940,St. Louis Cardinals,NL
Rafael Palmeiro,43,1998,Baltimore Orioles,AL
Rafael Palmeiro,43,2002,Texas Rangers,AL
Albert Pujols,43,2003,St. Louis Cardinals,NL
Manny Ramirez,43,2004,Boston Red Sox,AL
Al Rosen,43,1953,Cleveland Indians,AL
Gary Sheffield,43,2000,Los Angeles Dodgers,NL
Duke Snider,43,1956,Brooklyn Dodgers,NL
Mark Teixeira,43,2005,Texas Rangers,AL
Frank Thomas,43,2000,Chicago White Sox,AL
Matt Williams,43,1994,San Francisco Giants,NL
Ted Williams,43,1949,Boston Red Sox,AL
Jeff Bagwell,42,1999,Houston Astros,NL
Lance Berkman,42,2002,Houston Astros,NL
Barry Bonds,42,1996,San Francisco Giants,NL
Jose Canseco,42,1988,Oakland Athletics,AL
Rocky Colavito,42,1959,Cleveland Indians,AL
Carlos Delgado,42,2003,Toronto Blue Jays,AL
Jim Edmonds,42,2004,St. Louis Cardinals,NL
Jim Edmonds,42,2000,St. Louis Cardinals,NL
Edwin Encarnacion,42,2012,Toronto Blue Jays,AL
Juan Gonzalez,42,1997,Texas Rangers,AL
Shawn Green,42,1999,Toronto Blue Jays,AL
Shawn Green,42,2002,Los Angeles Dodgers,NL
Vladimir Guerrero,42,1999,Montreal Expos,NL
Travis Hafner,42,2006,Cleveland Indians,AL
Todd Helton,42,2000,Colorado Rockies,NL
Gil Hodges,42,1954,Brooklyn Dodgers,NL
Rogers Hornsby,42,1922,St. Louis Cardinals,NL
Harmon Killebrew,42,1959,Washington Senators,AL
Ralph Kiner,42,1951,Pittsburgh Pirates,NL
Mickey Mantle,42,1958,New York Yankees,AL
Mark McGwire,42,1992,Oakland Athletics,AL
Mel Ott,42,1929,New York Giants,NL
Albert Pujols,42,2010,St. Louis Cardinals,NL
Alex Rodriguez,42,1998,Seattle Mariners,AL
Alex Rodriguez,42,1999,Seattle Mariners,AL
Gary Sheffield,42,1996,Florida Marlins,NL
Roy Sievers,42,1957,Washington Senators,AL
Duke Snider,42,1953,Brooklyn Dodgers,NL
Duke Snider,42,1955,Brooklyn Dodgers,NL
Dick Stuart,42,1963,Boston Red Sox,AL
Frank Thomas,42,2003,Chicago White Sox,AL
Jim Thome,42,2006,Chicago White Sox,AL
Jim Thome,42,2004,Philadelphia Phillies,NL
Hal Trosky,42,1936,Cleveland Indians,AL
Billy Williams,42,1970,Chicago Cubs,NL
Gus Zernial,42,1953,Philadelphia Athletics,AL
Ernie Banks,41,1960,Chicago Cubs,NL
Tony Batista,41,2000,Toronto Blue Jays,AL
Carlos Beltran,41,2006,New York Mets,NL
Ryan Braun,41,2012,Milwaukee Brewers,NL
Jeff Burroughs,41,1977,Atlanta Braves,NL
Roy Campanella,41,1953,Brooklyn Dodgers,NL
Norm Cash,41,1961,Detroit Tigers,AL
Rocky Colavito,41,1958,Cleveland Indians,AL
Carlos Delgado,41,2000,Toronto Blue Jays,AL
Adam Dunn,41,2012,Chicago White Sox,AL
Darrell Evans,41,1973,Atlanta Braves,NL
Jimmie Foxx,41,1936,Boston Red Sox,AL
Andres Galarraga,41,1997,Colorado Rockies,NL
Lou Gehrig,41,1930,New York Yankees,AL
Jason Giambi,41,2003,New York Yankees,AL
Jason Giambi,41,2002,New York Yankees,AL
Troy Glaus,41,2001,Anaheim Angels,AL
Curtis Granderson,41,2011,New York Yankees,AL
Hank Greenberg,41,1940,Detroit Tigers,AL
Todd Hundley,41,1996,New York Mets,NL
Reggie Jackson,41,1980,New York Yankees,AL
Andruw Jones,41,2006,Atlanta Braves,NL
David Justice,41,2000,Cleveland Indians/New York Yankees,AL
Harmon Killebrew,41,1970,Minnesota Twins,AL
Paul Konerko,41,2004,Chicago White Sox,AL
Eddie Mathews,41,1955,Milwaukee Braves,NL
Willie Mays,41,1954,New York Giants,NL
Phil Nevin,41,2001,San Diego Padres,NL
Ben Oglivie,41,1980,Milwaukee Brewers,AL
David Ortiz,41,2004,Boston Red Sox,AL
Albert Pujols,41,2005,St. Louis Cardinals,NL
Manny Ramirez,41,2001,Boston Red Sox,AL
Alex Rodriguez,41,2000,Seattle Mariners,AL
Babe Ruth,41,1932,New York Yankees,AL
Babe Ruth,41,1923,New York Yankees,AL
Hank Sauer,41,1954,Chicago Cubs,NL
Frank Thomas,41,1993,Chicago White Sox,AL
Greg Vaughn,41,1996,Milwaukee Brewers/San Diego Padres,AL/NL
Cy Williams,41,1923,Philadelphia Phillies,NL
Hank Aaron,40,1960,Milwaukee Braves,NL
Hank Aaron,40,1973,Atlanta Braves,NL
Dick Allen,40,1966,Philadelphia Phillies,NL
Jesse Barfield,40,1986,Toronto Blue Jays,AL
Johnny Bench,40,1972,Cincinnati Reds,NL
Dante Bichette,40,1995,Colorado Rockies,NL
Barry Bonds,40,1997,San Francisco Giants,NL
Jay Buhner,40,1995,Seattle Mariners,AL
Jay Buhner,40,1997,Seattle Mariners,AL
Ellis Burks,40,1996,Colorado Rockies,NL
Ken Caminiti,40,1996,San Diego Padres,NL
Vinny Castilla,40,1996,Colorado Rockies,NL
Vinny Castilla,40,1997,Colorado Rockies,NL
Nelson Cruz,40,2014,Baltimore Orioles,AL
Adam Dunn,40,2007,Cincinnati Reds,NL
Adam Dunn,40,2008,Arizona Diamondbacks/Cincinnati Reds,NL
Adam Dunn,40,2006,Cincinnati Reds,NL
Adam Dunn,40,2005,Cincinnati Reds,NL
Darrell Evans,40,1985,Detroit Tigers,AL
George Foster,40,1978,Cincinnati Reds,NL
Adrian Gonzalez,40,2009,San Diego Padres,NL
Hank Greenberg,40,1937,Detroit Tigers,AL
"Ken Griffey, Jr.",40,2000,Cincinnati Reds,NL
"Ken Griffey, Jr.",40,1994,Seattle Mariners,AL
Gil Hodges,40,1951,Brooklyn Dodgers,NL
David Justice,40,1993,Atlanta Braves,NL
Ralph Kiner,40,1948,Pittsburgh Pirates,NL
Chuck Klein,40,1930,Philadelphia Phillies,NL
Ted Kluszewski,40,1953,Cincinnati Redlegs,NL
Paul Konerko,40,2005,Chicago White Sox,AL
Mickey Mantle,40,1960,New York Yankees,AL
Eddie Mathews,40,1954,Milwaukee Braves,NL
Willie Mays,40,1961,San Francisco Giants,NL
Johnny Mize,40,1948,New York Giants,NL
Tony Perez,40,1970,Cincinnati Reds,NL
Rico Petrocelli,40,1969,Boston Red Sox,AL
Mike Piazza,40,1999,New York Mets,NL
Mike Piazza,40,1997,Los Angeles Dodgers,NL
Wally Post,40,1955,Cincinnati Redlegs,NL
Ryne Sandberg,40,1990,Chicago Cubs,NL
Mike Schmidt,40,1983,Philadelphia Phillies,NL
Duke Snider,40,1954,Brooklyn Dodgers,NL
Duke Snider,40,1957,Brooklyn Dodgers,NL
Sammy Sosa,40,2003,Chicago Cubs,NL
Sammy Sosa,40,1996,Chicago Cubs,NL
Frank Thomas,40,1995,Chicago White Sox,AL
Frank Thomas,40,1996,Chicago White Sox,AL
Jim Thome,40,1997,Cleveland Indians,AL
Mo Vaughn,40,1998,Boston Red Sox,AL
Carl Yastrzemski,40,1970,Boston Red Sox,AL
Carl Yastrzemski,40,1969,Boston Red Sox,AL
